iso,t_s,sts,mode,hz,P_W,VDC,IDC,drive_C,Q_m3h,vel_ms,QperP,bore_mm,M91_pct,transit_us,pos_total,fault,mod_idx,headroom_pct,panel_C,f_rot,f_slip,foc_id,foc_iq,psir,foc_md,te_Nm,p_est_W,foc_idref,foc_iqref,v_dem,vlim,v_left,on_ceiling,stop_r,f_uv_n,f_oc_n,idq_pk,mppt_voc,mppt_vhold,mppt_vratio,run_kwh,rpm,ps_spread,ps_flags,ps_ru,ps_rv,ps_rw,ps_leak,foc_rs,foc_rr,foc_lm,foc_sigls,tune_sts,shed,shed_min,cap_state,resets,starts,start_r
2026-09-14 10:30:26,0.0,OFF,MPPT,5.0,68.8,523.7,0.13,30.0,0.0,0.0,,,,178.017,5337.6386,0,0.2,91.4,0.0,,,,,,,,,,,,,,,0,97,47,0.0,0.0,300.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1226,0
2026-09-14 10:30:43,16.6,OFF,MPPT,5.0,71.2,523.9,0.14,29.9,0.0,0.0,,,,178.027,5337.6386,0,0.2,91.4,0.0,,,,,,,,,,,,,,,0,97,47,0.0,0.0,300.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1226,0
2026-09-14 10:30:59,33.2,OFF,MPPT,5.0,69.9,524.1,0.13,29.8,0.0,0.0,,,96.15,,5337.6386,0,0.2,91.4,0.0,,,,,,,,,,,,,,,0,97,47,0.0,0.0,300.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1226,0
2026-09-14 10:31:22,55.9,OFF,MPPT,5.0,70.7,524.4,0.13,29.7,0.0,0.0,,,,178.014,5337.6386,0,0.2,91.4,0.0,,,,,,,,,,,,,,,0,97,47,0.0,0.0,300.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1226,0
2026-09-14 10:31:38,72.5,OFF,MPPT,5.0,72.3,524.6,0.14,29.7,0.0,0.0,,,96.14,,5337.6386,0,0.2,91.4,0.0,,,,,,,,,,,,,,,0,97,47,0.0,0.0,300.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1226,0
2026-09-14 10:32:01,95.2,OFF,MPPT,5.0,75.3,524.4,0.14,29.6,0.0,0.0,,,,178.003,5337.6386,0,0.2,91.4,0.0,,,,,,,,,,,,,,,0,97,47,0.0,0.0,300.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1226,0
2026-09-14 10:32:18,111.8,ON,MPPT,6.1,876.8,523.7,1.67,35.7,0.0,0.0,,,,178.0,5337.6386,0,0.2,89.5,0.0,6.3,0.007,21.48,-0.19,1.238,0,-0.34,710.5,21.64,0.0,51.2,270.0,218.9,0,0,97,47,32.3,524.3,314.6,0.9988,0.0033,378.0,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:32:40,134.5,ON,MPPT,13.12,1021.1,523.1,1.95,36.3,0.0,0.0,,,,177.997,5337.6386,0,0.2,77.3,0.0,14.026,0.144,17.03,1.03,0.975,2,1.43,788.8,17.05,2.35,106.3,269.7,163.3,0,0,97,47,32.3,524.3,314.6,0.9975,0.0092,841.6,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:32:57,151.1,ON,MPPT,17.3,1377.4,521.9,2.64,36.6,0.0,0.0,,,,177.994,5337.6386,0,0.2,70.0,0.0,17.55,0.211,16.37,3.74,0.975,2,5.22,1071.5,17.05,3.58,109.5,269.1,159.6,0,0,97,47,32.3,524.3,314.6,0.9954,0.0147,1053.0,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:33:20,173.9,ON,MPPT,22.9,2082.9,520.6,4.0,37.6,0.0,0.0,,,,177.993,5337.6386,0,0.2,60.2,0.0,23.608,0.326,15.57,4.49,0.975,2,6.25,1685.4,17.05,6.16,170.2,268.4,98.2,0,0,97,47,32.3,524.3,314.6,0.9929,0.0255,1416.5,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:33:36,190.4,ON,MPPT,26.92,3573.1,516.1,6.92,38.4,0.0,0.0,,,,177.988,5337.6386,0,0.2,52.8,0.0,27.292,0.598,14.53,10.52,0.975,2,14.66,3155.6,17.05,11.84,190.2,266.1,75.9,0,0,97,47,32.3,524.3,314.6,0.9839,0.0375,1637.5,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:34:00,214.3,ON,MPPT,32.9,5725.4,508.2,11.27,40.4,25.5177,0.73249,4.457,111.0,,179.056,5337.7091,0,0.2,41.4,0.0,33.992,0.881,16.74,16.9,0.975,2,23.57,5309.7,17.05,18.15,217.1,262.0,45.0,0,0,97,47,32.3,524.3,314.6,0.9691,0.0681,2039.5,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:34:17,230.8,ON,MPPT,36.92,7801.7,499.9,15.61,42.7,34.9017,1.00186,4.474,111.0,98.04,,5337.8643,0,0.2,33.1,0.0,35.177,1.134,16.24,23.43,0.974,2,32.63,7329.8,17.05,23.47,216.7,257.7,41.0,0,0,97,47,32.3,524.3,314.6,0.9524,0.0993,2110.6,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:34:40,253.7,ON,MPPT,42.52,11459.8,481.6,23.8,46.4,45.4611,1.30497,3.967,111.0,,180.888,5338.1118,0,0.2,20.1,0.0,41.261,1.604,17.82,33.79,0.968,2,46.72,10934.9,16.63,38.32,233.5,248.3,14.8,0,0,97,47,39.59,524.3,314.6,0.9173,0.1602,2475.7,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:34:56,270.3,ON,MPPT,46.1,13751.2,465.4,29.55,50.3,53.1189,1.52479,3.863,111.0,,180.94,5338.3456,0,0.2,10.4,0.0,43.995,2.223,13.12,41.85,0.884,2,52.85,13145.7,15.26,50.64,227.2,240.0,12.7,0,0,97,47,48.63,524.3,314.6,0.8877,0.2198,2639.7,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:35:19,293.2,ON,MPPT,46.04,13700.8,463.4,29.57,52.9,54.7886,1.57272,3.999,111.0,,180.908,5338.6954,0,0.2,10.1,0.0,44.381,2.245,16.97,40.75,0.877,2,51.08,13096.4,15.02,50.71,269.6,238.9,-30.7,1,0,97,47,48.79,524.3,314.6,0.885,0.3076,2662.9,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:35:36,309.7,ON,MPPT,46.15,13797.5,466.3,29.59,54.2,54.5272,1.56522,3.952,111.0,,180.894,5338.9382,0,0.2,10.4,0.0,42.448,2.224,14.57,43.76,0.883,2,55.21,13164.5,15.26,50.64,212.4,240.4,28.0,0,0,97,47,48.79,524.3,314.6,0.8892,0.3693,2546.9,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:35:58,332.4,ON,MPPT,46.33,13799.1,465.7,29.63,55.6,54.4054,1.56172,3.943,111.0,,180.9,5339.2867,0,0.2,10.0,0.0,43.368,2.231,14.3,43.37,0.879,2,54.48,13156.4,15.27,50.64,218.3,240.1,21.8,0,0,97,47,48.79,524.3,314.6,0.8884,0.4561,2602.1,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:36:15,349.0,ON,MPPT,46.17,13783.1,465.3,29.62,56.4,54.2224,1.55647,3.934,111.0,97.7,,5339.5281,0,0.2,10.2,0.0,44.263,2.247,15.42,41.18,0.876,2,51.56,13148.6,15.55,50.55,247.5,239.9,-7.6,1,0,97,47,48.79,524.3,314.6,0.8878,0.5195,2655.8,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:36:38,371.9,ON,MPPT,46.47,13838.9,467.2,29.62,57.4,54.1089,1.55321,3.91,111.0,,180.87,5339.8746,0,0.2,10.0,0.0,43.109,2.224,14.06,42.92,0.881,2,54.03,13189.3,15.47,50.58,231.2,240.9,9.7,0,0,97,47,48.79,524.3,314.6,0.8909,0.6078,2586.6,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:36:54,388.5,ON,MPPT,46.17,13815.3,467.8,29.53,58.0,54.0658,1.55197,3.913,111.0,97.69,,5340.13,0,0.2,10.7,0.0,43.794,2.227,15.29,41.27,0.88,2,51.9,13198.4,15.57,50.55,253.9,241.2,-12.7,1,0,97,47,48.79,524.3,314.6,0.8923,0.6715,2627.7,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:37:17,411.2,ON,MPPT,46.45,13997.2,471.3,29.7,58.8,54.4164,1.56204,3.888,111.0,97.66,,5340.4752,0,0.2,10.8,0.0,44.21,2.214,16.75,41.98,0.887,2,53.22,13311.9,15.38,50.6,253.5,243.0,-10.5,1,0,97,47,48.79,524.3,314.6,0.8993,0.759,2652.6,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:37:34,427.8,ON,MPPT,46.42,14023.2,472.7,29.67,59.1,54.0144,1.5505,3.852,111.0,,180.827,5340.7162,0,0.2,11.1,0.0,43.51,2.213,12.94,43.12,0.888,2,54.76,13354.1,15.27,50.64,219.8,243.7,23.9,0,0,97,47,48.79,524.3,314.6,0.9015,0.8218,2610.6,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:37:57,450.6,ON,MPPT,46.53,14043.8,472.4,29.73,59.6,54.0467,1.55142,3.848,111.0,,180.801,5341.0627,0,0.2,10.8,0.0,43.95,2.211,17.05,41.34,0.889,2,52.52,13343.4,15.49,50.57,260.2,243.6,-16.6,1,0,97,47,48.79,524.3,314.6,0.9011,0.9115,2637.0,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:38:13,467.2,ON,MPPT,46.45,14054.4,472.7,29.73,59.7,53.998,1.55003,3.842,111.0,,180.795,5341.3172,0,0.2,11.1,0.0,43.693,2.218,17.12,42.48,0.887,2,53.85,13357.3,15.65,50.52,257.2,243.7,-13.5,1,0,97,47,48.79,524.3,314.6,0.9019,0.9761,2621.6,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,1.0,2,253,1227,2
2026-09-14 10:38:36,489.9,ON,MPPT,25.81,2632.9,465.1,5.66,53.0,35.7714,1.02683,13.586,111.0,,180.79,5341.6329,0,0.2,49.8,0.0,26.361,0.41,18.18,8.6,0.976,2,11.99,2139.9,17.05,8.34,162.1,239.8,77.7,0,0,97,47,48.79,524.3,314.6,0.8793,1.0342,1581.7,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:38:53,506.6,ON,MPPT,27.81,3559.7,449.4,7.92,50.7,6.7129,0.1927,1.886,111.0,,180.786,5341.7065,0,0.2,44.0,0.0,26.413,0.539,17.39,10.79,0.975,2,12.44,3051.9,17.05,10.84,196.2,231.7,35.5,0,0,97,47,48.79,524.3,314.6,0.86,1.0502,1584.8,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,3,253,1227,2
2026-09-14 10:39:15,529.2,ON,MPPT,27.78,3707.8,443.4,8.36,49.5,9.8467,0.28265,2.656,111.0,,180.784,5341.7551,0,0.2,43.3,0.0,26.834,0.607,17.22,12.58,0.975,2,17.53,3219.0,17.05,12.64,171.5,228.6,57.1,0,0,97,47,48.79,524.3,314.6,0.8398,1.0739,1610.1,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:39:32,545.8,ON,MPPT,27.18,3662.5,443.5,8.26,48.8,8.0626,0.23144,2.201,111.0,,180.777,5341.7948,0,0.2,44.5,0.0,26.455,0.579,18.75,13.12,0.975,2,18.29,3156.7,17.05,11.73,150.5,228.6,78.1,0,0,97,47,48.79,524.3,314.6,0.8478,1.0909,1587.3,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:39:55,568.7,ON,MPPT,27.58,3672.0,433.4,8.47,47.9,7.6621,0.21994,2.087,111.0,,180.767,5341.8424,0,0.2,42.4,0.0,27.232,0.597,17.77,14.16,0.976,2,19.75,3172.1,17.05,12.08,141.4,223.5,82.0,0,0,97,47,48.79,524.3,314.6,0.8264,1.1134,1633.9,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:40:11,585.3,ON,MPPT,29.98,4721.3,515.7,9.15,48.2,9.6288,0.2764,2.039,111.0,,180.768,5341.8772,0,0.2,47.4,0.0,28.605,0.729,17.69,15.75,0.975,2,21.95,4138.3,17.05,15.25,177.4,265.9,88.5,0,0,97,47,48.79,524.3,314.6,0.9831,1.132,1716.3,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:40:34,608.1,ON,MPPT,35.58,7114.9,505.7,14.07,49.3,24.4369,0.70147,3.435,111.0,,180.772,5341.9815,0,0.2,36.3,0.0,34.368,1.037,16.91,22.19,0.975,2,30.91,6557.1,17.05,21.56,203.5,260.7,57.2,0,0,97,47,48.79,524.3,314.6,0.9636,1.1691,2062.1,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:40:51,624.6,ON,MPPT,39.78,9633.9,492.7,19.55,51.1,35.8989,1.03049,3.726,111.0,,180.649,5342.1228,0,0.2,26.9,0.0,38.605,1.34,17.53,28.04,0.974,2,39.04,9010.3,17.05,27.91,227.2,254.0,26.9,0,0,97,47,48.79,524.3,314.6,0.9392,1.2076,2316.3,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:41:13,647.4,ON,MPPT,45.38,13438.9,463.1,29.02,54.5,49.6323,1.42471,3.693,111.0,,180.753,5342.4011,0,0.2,11.3,0.0,44.035,2.199,16.26,41.33,0.875,2,51.67,12778.8,15.41,49.64,256.2,238.8,-17.4,1,0,97,47,48.79,524.3,314.6,0.8804,1.2818,2642.1,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:41:30,664.0,ON,MPPT,45.7,13711.4,461.5,29.71,56.6,53.2158,1.52757,3.881,111.0,,180.77,5342.6327,0,0.2,10.4,0.0,44.586,2.269,17.93,40.07,0.869,2,49.78,13009.9,15.57,50.55,270.5,237.9,-32.6,1,0,97,47,48.98,524.3,314.6,0.8798,1.3429,2675.1,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:41:53,686.8,ON,MPPT,44.1,12692.6,468.7,27.08,57.3,52.4527,1.50567,4.133,111.0,,180.772,5342.9714,0,0.2,14.8,0.0,41.84,1.931,15.89,38.73,0.91,2,50.35,12051.3,15.81,45.45,230.5,241.6,11.1,0,0,97,47,48.98,524.3,314.6,0.8927,1.4273,2510.4,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:42:09,703.4,ON,MPPT,44.3,12796.1,456.0,28.06,57.4,51.4701,1.47746,4.022,111.0,,180.77,5343.2163,0,0.2,12.1,0.0,42.05,2.064,16.94,38.68,0.881,2,49.98,12139.7,15.33,46.85,232.9,235.1,2.2,1,0,97,47,48.98,524.3,314.6,0.8708,1.4867,2523.0,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:42:33,727.2,ON,MPPT,44.9,13075.1,459.3,28.47,57.2,49.9122,1.43274,3.817,111.0,,180.726,5343.5535,0,0.2,11.5,0.0,43.063,2.168,15.41,41.03,0.872,2,51.16,12421.9,15.17,48.59,231.6,236.8,5.2,0,0,97,47,48.98,524.3,314.6,0.8726,1.5687,2583.8,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:42:50,743.8,ON,MPPT,45.1,13225.3,459.9,28.76,57.8,50.9717,1.46316,3.854,111.0,,180.729,5343.7789,0,0.2,11.2,0.0,42.615,2.158,13.91,41.07,0.873,2,51.24,12535.2,15.28,48.36,225.2,237.1,11.9,0,0,97,47,48.98,524.3,314.6,0.876,1.6279,2556.9,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:43:13,766.8,ON,MPPT,45.4,13621.4,462.8,29.43,58.8,51.7516,1.48554,3.799,111.0,,180.729,5344.1056,0,0.2,11.2,0.0,43.403,2.213,17.72,40.45,0.874,2,50.51,12906.4,15.76,49.73,271.4,238.6,-32.8,1,0,97,47,48.98,524.3,314.6,0.883,1.711,2604.2,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:44:01,0.0,ON,MPPT,44.4,12774.5,463.5,27.56,57.9,49.5897,1.42349,3.882,111.0,,180.717,5344.8062,0,0.2,13.3,0.0,42.649,2.025,18.05,37.49,0.891,2,47.74,12072.2,16.0,46.41,273.5,239.0,-34.6,1,0,97,47,48.98,524.3,314.6,0.8818,1.8852,2558.9,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:44:06,4.6,ON,MPPT,45.4,13416.5,455.2,29.48,58.5,49.7142,1.42706,3.705,111.0,,180.712,5344.8613,0,0.2,9.7,0.0,42.793,2.269,15.28,42.78,0.858,2,51.81,12676.2,14.53,50.22,230.8,234.7,3.9,1,0,97,47,48.98,524.3,314.6,0.8694,1.9015,2567.6,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:44:10,9.2,ON,MPPT,44.2,12818.3,468.1,27.38,58.7,50.3236,1.44455,3.926,111.0,,180.718,5344.9308,0,0.2,14.5,0.0,42.028,1.933,16.17,38.46,0.908,2,49.9,12117.4,15.73,45.07,230.1,241.3,11.3,0,0,97,47,48.98,524.3,314.6,0.8944,1.9177,2521.7,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:44:15,13.7,ON,MPPT,45.2,13306.7,461.6,28.83,58.7,50.8641,1.46007,3.822,111.0,,180.716,5344.987,0,0.2,11.4,0.0,42.331,2.15,17.17,40.67,0.876,2,50.9,12589.8,15.76,48.25,259.3,238.0,-21.3,1,0,97,47,48.98,524.3,314.6,0.8812,1.9338,2539.9,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:44:19,18.3,ON,MPPT,44.4,12896.9,467.4,27.6,58.8,51.3446,1.47386,3.981,111.0,97.61,,5345.058,0,0.2,14.0,0.0,42.226,1.971,15.42,39.16,0.904,2,50.56,12192.7,15.97,45.92,241.3,241.0,-0.3,1,0,97,47,48.98,524.3,314.6,0.8889,1.9513,2533.6,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:44:24,22.8,ON,MPPT,44.4,12881.1,463.9,27.77,58.7,51.5449,1.47961,4.002,111.0,97.61,,5345.1152,0,0.2,13.4,0.0,41.512,2.013,17.14,39.91,0.893,2,50.92,12195.5,15.9,46.23,237.7,239.2,1.4,1,0,97,47,48.98,524.3,314.6,0.8853,1.9672,2490.7,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:44:35,33.8,ON,MPPT,44.2,12747.9,464.6,27.44,58.7,51.1638,1.46867,4.014,111.0,97.6,,5345.2723,0,0.2,13.9,0.0,41.897,1.965,14.64,38.3,0.901,2,49.32,12069.9,15.83,45.51,225.1,239.5,14.4,0,0,97,47,48.98,524.3,314.6,0.8892,2.0062,2513.8,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:44:40,38.3,ON,MPPT,43.0,12017.4,477.7,25.16,58.3,50.8599,1.45995,4.232,111.0,97.59,,5345.3431,0,0.2,18.5,0.0,41.345,1.653,16.77,33.25,0.955,2,45.37,11281.7,16.33,40.52,235.4,246.3,10.9,0,0,97,47,48.98,524.3,314.6,0.9126,2.0214,2480.7,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:44:44,42.9,ON,MPPT,44.0,12539.6,474.6,26.42,58.0,50.3309,1.44476,4.014,111.0,,180.714,5345.3994,0,0.2,16.1,0.0,42.633,1.856,12.45,36.93,0.922,2,48.64,11829.1,15.86,44.01,225.5,244.7,19.1,0,0,97,47,48.98,524.3,314.6,0.9026,2.0366,2558.0,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:44:49,47.5,ON,MPPT,45.2,13326.5,466.8,28.55,58.4,49.9546,1.43396,3.749,111.0,,180.711,5345.469,0,0.2,12.4,0.0,43.151,2.104,15.45,40.31,0.888,2,51.17,12595.3,15.1,48.12,230.8,240.6,9.8,0,0,97,47,48.98,524.3,314.6,0.8885,2.0541,2589.1,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:44:53,52.1,ON,MPPT,46.2,13808.1,464.1,29.75,59.1,50.4355,1.44777,3.653,111.0,,180.71,5345.5386,0,0.2,9.9,0.0,43.766,2.268,13.9,42.88,0.867,2,53.12,13108.3,15.1,50.69,226.3,239.3,13.0,0,0,97,47,48.98,524.3,314.6,0.8851,2.0711,2626.0,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:44:58,56.6,ON,MPPT,46.0,13820.1,464.1,29.78,59.6,51.4497,1.47688,3.723,111.0,97.6,,5345.5952,0,0.2,10.3,0.0,43.926,2.261,11.7,42.05,0.869,2,52.22,13110.0,15.22,50.1,220.3,239.3,19.0,0,0,97,47,48.98,524.3,314.6,0.885,2.0882,2635.6,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:45:10,68.5,ON,MPPT,45.8,13765.2,462.1,29.79,59.9,52.5982,1.50985,3.821,111.0,,180.715,5345.7694,0,0.2,10.3,0.0,43.496,2.282,15.89,42.73,0.864,2,52.76,13035.3,14.98,50.72,246.6,238.2,-8.4,1,0,97,47,48.98,524.3,314.6,0.8815,2.1329,2609.7,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:45:14,73.1,ON,MPPT,45.4,13644.4,463.2,29.45,60.0,52.6386,1.51101,3.858,111.0,,180.721,5345.8425,0,0.2,11.3,0.0,42.213,2.222,14.7,42.88,0.871,2,53.4,12973.2,15.32,49.88,224.0,238.8,14.8,0,0,97,47,48.98,524.3,314.6,0.8848,2.1513,2532.8,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:45:19,77.7,ON,MPPT,45.2,13430.2,468.9,28.65,59.7,52.4938,1.50685,3.909,111.0,97.6,,5345.9009,0,0.2,12.7,0.0,42.652,2.114,16.36,40.82,0.888,2,51.79,12686.7,15.28,48.38,244.4,241.7,-2.7,1,0,97,47,48.98,524.3,314.6,0.8933,2.1679,2559.1,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:45:23,82.3,ON,MPPT,46.26,13864.0,464.1,29.88,59.9,52.3488,1.50269,3.776,111.0,97.6,,5345.9737,0,0.2,9.8,0.0,43.131,2.272,16.11,43.97,0.867,2,54.49,13126.9,15.82,50.47,225.4,239.3,13.8,0,0,97,47,48.98,524.3,314.6,0.8858,2.1848,2587.8,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:45:28,86.8,ON,MPPT,46.16,13867.8,464.5,29.86,60.1,52.4054,1.50431,3.779,111.0,,180.709,5346.0319,0,0.2,10.1,0.0,41.963,2.263,15.99,43.36,0.87,2,53.92,13137.8,15.17,50.67,227.6,239.5,11.9,0,0,97,47,48.98,524.3,314.6,0.8864,2.2019,2517.8,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:45:33,91.4,ON,MPPT,46.37,13868.2,464.8,29.84,60.2,52.5078,1.50725,3.786,111.0,,180.715,5346.1047,0,0.2,9.7,0.0,44.711,2.259,17.19,40.88,0.87,2,50.85,13140.0,15.06,50.7,279.1,239.6,-39.5,1,0,97,47,48.98,524.3,314.6,0.8867,2.2206,2682.7,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
2026-09-14 10:45:44,102.5,ON,MPPT,46.09,13982.5,469.0,29.81,60.2,52.6778,1.51213,3.767,111.0,,180.713,5346.2657,0,0.2,11.1,0.0,43.572,2.236,16.19,43.0,0.876,2,53.81,13234.3,14.9,50.75,238.9,241.8,3.0,1,0,97,47,48.98,524.3,314.6,0.8949,2.2626,2614.3,0.0785,0,0.6332,0.6567,0.7394,0.097,0.873,0.3,57.2,5.53,1,1.0,0.391,2,253,1227,2
